Website,Company Name,Ticker,Exchange,domain,files_in_bucket
https://goldnfuturesmineralcorp.com,Gold'Futures Mineral Corp.,FUTR,CSE,goldnfuturesmineralcorp.com,1
https://goldhavenresources.com/,GoldHaven Resources Corp.,GOH,CSE,goldhavenresources.com,16
https://www.goldrea.com,Goldrea Resources Corp.,GOR,CSE,goldrea.com,0
https://www.graycliffexploration.com,Graycliff Exploration Limited,GRAY,CSE,graycliffexploration.com,0
https://www.greateaglegold.com/,Great Eagle Gold Corp.,GEGC,CSE,greateaglegold.com,32
https://www.greatnorthernenergymetals.com,Great Northern Energy Metals Inc.,GNEM,CSE,greatnorthernenergymetals.com,3
https://greatrepublic.ca/,Great Republic Mining Corp.,GRM,CSE,greatrepublic.ca,42
https://www.greenbridgemetals.com,Green Bridge Metals Corporation,GRBM,CSE,greenbridgemetals.com,0
https://www.greenrivergold.com,Green River Gold Corp.,CCR,CSE,greenrivergold.com,0
https://www.greenlandresources.ca,Greenhawk Resources Inc.,GRHK,CSE,greenlandresources.ca,13
https://greenridge-exploration.com/,Greenridge Exploration Inc.,GXP,CSE,greenridge-exploration.com,121
https://makaramining.com,Hardcore Discoveries Ltd.,HARD,CSE,makaramining.com,1
https://www.hawthornresources.ca,Hawthorn Resources Corp.,HWTN,CSE,hawthornresources.ca,10
https://headwatergold.com,Headwater Gold Inc.,HWG,CSE,headwatergold.com,95
https://herculesresourcescorp.com,Hercules Resources Corp.,HERC,CSE,herculesresourcescorp.com,6
https://heritagemining.ca,Heritage Mining Ltd.,HML,CSE,heritagemining.ca,16
https://hertz-energy.com,Hertz Energy Inc.,HZ,CSE,hertz-energy.com,86
https://hightideresources.com,High Tide Resources Corp.,HTRC,CSE,hightideresources.com,2099
https://www.highlandersilver.com,Highlander Silver Corp.,HSLV,CSE,highlandersilver.com,0
https://www.highrockresources.ltd,Highrock Resources Ltd.,HRK,CSE,highrockresources.ltd,0
https://hiviewresources.com/,Hi-View Resources Inc,HVW,CSE,hiviewresources.com,81
https://hmexploration.com/,HM Exploration Corp.,HM,CSE,hmexploration.com,13
https://www.inflectionresources.com,Inflection Resources Ltd.,AUCU,CSE,inflectionresources.com,0
https://www.inspiration.energy,Inspiration Energy Corp.,ISP,CSE,inspiration.energy,81
https://integralmetals.com/,Integral Metals Corp.,INTG,CSE,integralmetals.com,29
https://www.irvresources.com,Irving Resources Inc.,IRV,CSE,irvresources.com,0
https://kingcse.com,King Global Ventures Inc.,KING,CSE,kingcse.com,0
https://www.kingsviewminerals.ca,Kingsview Minerals Ltd.,KVM,CSE,kingsviewminerals.ca,1
https://www.kogoldnz.com,KO Gold Inc.,KOG,CSE,kogoldnz.com,25
https://www.kobreaexploration.com/,Kobrea Exploration Corp.,KBX,CSE,kobreaexploration.com,14
https://www.krakenenergycorp.com,Kraken Energy Corp.,UUSA,CSE,krakenenergycorp.com,0
https://www.kuyasilver.com,Kuya Silver Corporation,KUYA,CSE,kuyasilver.com,131
https://canadachrome.com,KWG Resources Inc.,CACR,CSE,canadachrome.com,479
,KWG Resources Inc. MVS,CACR.A,CSE,,0
